Data element,Period,OrganisationUnit,CategoryCombo,AttributeCombo,Value
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,17
,2018Q1,,,JVafaPfopJf,17
,2018Q1,,,JVafaPfopJf,14
,2018Q1,,,JVafaPfopJf,11
,2018Q1,,,JVafaPfopJf,62
,2018Q1,,,JVafaPfopJf,20
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,32
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,11
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,22
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,20
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,18
,2018Q1,,,JVafaPfopJf,35
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,43
,2018Q1,,,JVafaPfopJf,121
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,11
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,38
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,43
,2018Q1,,,JVafaPfopJf,18
,2018Q1,,,JVafaPfopJf,17
,2018Q1,,,JVafaPfopJf,111
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,12
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,26
,2018Q1,,,JVafaPfopJf,18
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,19
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,79
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,26
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,72
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,9
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,39
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,48
,2018Q1,,,JVafaPfopJf,22
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,23
,2018Q1,,,JVafaPfopJf,9
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,32
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,30
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,14
,2018Q1,,,JVafaPfopJf,18
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,75
,2018Q1,,,JVafaPfopJf,146
,2018Q1,,,JVafaPfopJf,9
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,28
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,9
,2018Q1,,,JVafaPfopJf,44
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,11
,2018Q1,,,JVafaPfopJf,18
,2018Q1,,,JVafaPfopJf,18
,2018Q1,,,JVafaPfopJf,13
,2018Q1,,,JVafaPfopJf,75
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,26
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,36
,2018Q1,,,JVafaPfopJf,21
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,15
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,78
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,17
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,73
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,9
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,36
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,51
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,24
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,15
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,34
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,21
,2018Q1,,,JVafaPfopJf,14
,2018Q1,,,JVafaPfopJf,18
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,60
,2018Q1,,,JVafaPfopJf,114
,2018Q1,,,JVafaPfopJf,9
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,41
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,11
,2018Q1,,,JVafaPfopJf,14
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,123
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,52
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,17
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,45
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,53
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,12
,2018Q1,,,JVafaPfopJf,10
