Data element,Period,OrganisationUnit,CategoryCombo,AttributeCombo,Value
,2018Q2,,,JVafaPfopJf,16
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,41
,2018Q2,,,JVafaPfopJf,52
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,11
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,10
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,32
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,4
,2018Q2,,,JVafaPfopJf,14
,2018Q2,,,JVafaPfopJf,12
,2018Q2,,,JVafaPfopJf,18
,2018Q2,,,JVafaPfopJf,47
,2018Q2,,,JVafaPfopJf,5
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,22
,2018Q2,,,JVafaPfopJf,10
,2018Q2,,,JVafaPfopJf,24
,2018Q2,,,JVafaPfopJf,7
,2018Q2,,,JVafaPfopJf,10
,2018Q2,,,JVafaPfopJf,26
,2018Q2,,,JVafaPfopJf,8
,2018Q2,,,JVafaPfopJf,4
,2018Q2,,,JVafaPfopJf,7
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,67
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,18
,2018Q2,,,JVafaPfopJf,4
,2018Q2,,,JVafaPfopJf,34
,2018Q2,,,JVafaPfopJf,2
,2018Q2,,,JVafaPfopJf,13
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,7
,2018Q2,,,JVafaPfopJf,1
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,17
,2018Q2,,,JVafaPfopJf,17
,2018Q2,,,JVafaPfopJf,14
,2018Q2,,,JVafaPfopJf,11
,2018Q2,,,JVafaPfopJf,62
,2018Q2,,,JVafaPfopJf,20
,2018Q2,,,JVafaPfopJf,0
,2018Q2,,,JVafaPfopJf,32
,2018Q2,,,JVafaPfopJf,3
,2018Q2,,,JVafaPfopJf,11
,2018Q2,,,JVafaPfopJf,6
,2018Q2,,,JVafaPfopJf,7
,2018Q2,,,JVafaPfopJf,22
